Series,Week,Player,Score,Points,Rank,Points without double points Friday,Score if double score Friday,Rank without double points Friday,Rank based on Score,Rank if Double Score Friday,Change in winner with no double points Friday?,Change in winner based on Score?,Change in winner if Double Score Friday?
4,6,Angela Barnes,82,24,1,20.0,101,1,1,1,False,False,False
4,6,Greg Rutherford,26,17,2,14.0,32,2,2,2,False,False,False
4,6,Denise Van Outen,24,13,3,11.0,29,3,3,3,False,False,False
4,6,Melvin Odoom,15,10,4,9.0,20,4,4,4,False,False,False
4,7,Isy Suttie,34,19,1,15.0,45,2,3,3,True,True,True
4,7,Rhys James,43,17,2,16.0,48,1,1,1,True,True,True
4,7,David James,38,16,3,13.0,48,3,2,1,False,True,True
4,7,Denise Lewis,26,10,4,8.0,35,4,4,4,False,False,False
4,8,Rickie Haywood-Williams,30,17,1,14.0,38,1,2,2,False,True,True
4,8,Jessica Fostekew,39,16,2,14.0,44,1,1,1,True,True,True
4,8,Sara Barron,28,15,3,11.0,37,4,4,3,True,True,False
4,8,Anton Du Beke,29,13,4,12.0,31,3,3,4,True,True,False
4,9,Robert Rinder,46,22,1,19.0,56,1,1,1,False,False,False
4,9,Jessica Knappett,31,19,2,15.0,42,2,2,2,False,False,False
4,9,Alex Jones,28,14,3,12.0,34,3,3,3,False,False,False
4,9,Karim Zeroual,11,6,4,5.0,14,4,4,4,False,False,False
4,10,Josie Long,51,22,1,18.0,64,1,1,1,False,False,False
4,10,Steve Cram,29,16,2,13.0,37,2,2,2,False,False,False
4,10,Lloyd Griffith,26,13,3,11.0,33,3,3,3,False,False,False
4,10,Jeanette Kwakye,22,11,4,10.0,25,4,4,4,False,False,False
4,11,Tim Key,40,20,1,16.0,53,1,1,1,False,False,False
4,11,Gabby Logan,30,19,2,16.0,37,1,2,2,True,False,False
4,11,Jeff Stelling,26,14,3,12.0,32,3,3,3,False,False,False
4,11,Gemma Cairney,14,10,4,9.0,16,4,4,4,False,False,False
4,12,David Baddiel,41,19,1,16.0,50,1,1,1,False,False,False
4,12,Alex Brooker,35,17,2,13.0,45,2,3,2,False,True,False
4,12,Sophie Duker,37,14,3,12.0,45,3,2,2,False,True,True
4,12,Charlotte Hawkins,33,11,4,10.0,40,4,4,4,False,False,False
4,13,Maisie Adam,53,23,1,19.0,60,1,1,1,False,False,False
4,13,Rory Bremner,35,15,2,13.0,40,2,2,2,False,False,False
4,13,James Cracknell,32,13,3,10.0,38,4,3,3,True,False,False
4,13,Michelle Gayle,31,12,4,11.0,36,3,4,4,True,False,False
4,14,Les Dennis,39,18,1,15.0,46,1,1,1,False,False,False
4,14,Melinda Messenger,27,18,1,14.0,35,2,2,2,True,True,True
4,14,Charlie Brooks,27,14,3,12.0,32,3,2,3,False,True,False
4,14,Darren Harriott,25,12,4,11.0,28,4,4,4,False,False,False
4,15,Mark Watson,52,22,1,18.0,64,1,1,1,False,False,False
4,15,Laura Whitmore,39,17,2,15.0,45,2,2,2,False,False,False
